productoId,sku,descripcion,bogota_stock,totalDisponible,precio
p3070,COOL-NZXT-Z73,NZXT Kraken Elite 360 RGB 360mm AIO (Black),10,25,1200000
p3071,COOL-LIA-GAL360,Lian Li Galahad II 360 AIO (White),12,30,950000
p3072,COOL-COR-H150I,Corsair H150i Elite Capellix XT 360mm AIO,15,35,900000
p3073,COOL-ARC-LF2-360,Arctic Liquid Freezer II 360 AIO,18,40,750000
p3074,COOL-NOCT-D15,Noctua NH-D15 chromax.black (Air Cooler),20,50,550000
p3075,COOL-DEEP-AK620,Deepcool AK620 Digital (Air Cooler),25,60,380000
p3076,COOL-NZXT-K280,NZXT Kraken 280 RGB 280mm AIO (White),11,28,1050000
p3077,COOL-BEQ-DRP4,Be Quiet! Dark Rock Pro 4 (Air Cooler),16,38,480000
p3078,COOL-LIA-SLINF-120,Lian Li Uni Fan SL-Infinity 120mm (3-pack),30,80,450000
p3079,COOL-COR-QL120,Corsair QL120 RGB 120mm (3-pack),28,70,420000
p3080,MON-SAM-G9-NEO,"Samsung Odyssey Neo G9 49"" 240Hz",3,7,7500000
p3081,MON-ALI-AW34,"Dell Alienware AW3423DWF 34"" QD-OLED 165Hz",5,12,4800000
p3082,MON-LG-27GP950,"LG UltraGear 27GP950-B 27"" 4K 144Hz",8,20,3100000
p3083,MON-AS-PG27AQDM,"ASUS ROG Swift PG27AQDM 27"" OLED 240Hz",6,15,4400000
p3084,MON-GIG-M32U,"Gigabyte M32U 32"" 4K 144Hz",10,25,3300000
p3085,MON-SAM-G7-27,"Samsung Odyssey G7 27"" 1440p 240Hz",12,30,2500000
p3086,MON-ALI-AW38,"Dell Alienware AW3821DW 38"" Ultrawide 144Hz",4,10,5100000
p3087,MON-LG-45GR95QE,"LG UltraGear 45"" Curved OLED 240Hz",3,8,6200000
p3088,MON-MSI-MPG32,"MSI MPG 321URX QD-OLED 32"" 4K 240Hz",7,18,5300000
p3089,MON-BENQ-EW3270U,"BenQ EW3270U 32"" 4K 60Hz",15,40,1800000
p3090,KBD-LOG-G915,Logitech G915 TKL Lightspeed Wireless,20,50,800000
p3091,KBD-RAZ-BWV4,Razer BlackWidow V4 Pro (Yellow Switches),15,35,950000
p3092,KBD-AS-AZOTH,ASUS ROG Azoth 75% Wireless,10,25,1100000
p3093,KBD-KEY-Q1,Keychron Q1 Pro 75% QMK/VIA Wireless,18,40,900000
p3094,MOUSE-LOG-GPX2,Logitech G Pro X Superlight 2 (Black),30,80,650000
p3095,MOUSE-RAZ-DAV3,Razer DeathAdder V3 Pro (White),25,60,620000
p3096,MOUSE-LOG-GPX2-WH,Logitech G Pro X Superlight 2 (White),30,80,650000
p3097,MOUSE-GLO-MODO,Glorious Model O 2 Wireless (Black),22,50,500000
p3098,HEAD-AST-A50X,Astro A50 X Wireless + Base Station,10,25,1600000
p3099,HEAD-STE-AWPRO,SteelSeries Arctis Nova Pro Wireless,15,30,1500000
p3100,HEAD-SENN-HD660,Sennheiser HD 660S2 Audiophile,8,20,2300000
